customer_id,customer_name,sector
450056063,B.W.E CUSTOM CONSTRUCTION LLC,HC
450056064,SERGEY NIZHEGORODTSEV PUBLISHING LLC,CS
450056066,SUNRISE ANDOVER LLC,RE
450056067,474 CENTRAL BOULEVARD LLC,FS
450056068,ELITE FINISHES LLC,TECH
450056069,FLAWLESS SILHOUETTE BOUTIQUE LLC,HC
450056071,GLOBAL HYDRO LLC,RE
450056072,LEADS FLOW LLC,CS
450056074,VICTOR TRUCKING LLC,UT
450056075,"CRYOHEALTH AND BEAUTY OF NJ, LLC",TECH
450056076,WATSON EXPRESS LLC,RE
450056077,CAC 725 PARK AVENUE REALTY LIMITED LIABILITY COMPANY,TECH
450056079,TERESITA'S  TREASURES LLC,TECH
450056080,AMERICAN FINANCIAL RESTORATION LLC,IND
450056081,RIGHT HAND MEDICAL ASSIST L.L.C.,IND
450056082,SHADE EXPRESS LIMITED LIABILITY COMPANY,FS
450056083,JR HOME INPROVEMENT LLC,UT
450056084,OS TRANSPORTATION LLC,UT
450056085,GOMES GROUP LLC,HC
450056087,IGWT INTERNATIONAL LLC,HC
450056088,FERREIRA & MOURA HOME IMPROVEMENT LLC,CS
450056452,OMNITRESSES SALON LLC,CS
450056453,CROSSWIND PRODUCTIONS LLC,CS
450056455,"JOHN HASLON, LLC",TECH
450056456,WOLOWITZ  HOLDINGS LLC,IND
450056457,A M FRAMING LLC,IND
450056458,"GOW GEEK, LLC",CS
450056459,"RENAL PROSPECTIVES HB, LLC",FS
450056460,ELEVATION MEDIA LLC,IND
450056461,HEAVENLY J LLC,RE
450056463,"TORN OUTLAW ENTERPRISES, LLC",FS
450056465,"VIVID REFLECTIONS, LLC",IND
450056467,USWASHROOM LLC,CS
450056468,"JONES BROTHER'S MOVING, LLC",TECH
450056469,"AWESOME GROUP INTERNATIONAL, LLC",TECH
450056470,STRATTON MEDICAL LLC,CS
450056472,AGABIMD LLC,FS
450056475,"BESTT IN CREST, LLC",CS
450056476,GREY SLATE CONSTRUCTION LLC,FS
450056477,LIBERTY SPINE & REHAB LLC,RE
450056841,CARDINALE & JACKSON CROSSING ASSOCIATES 2 LLC,TECH
450056842,"DVM PROPERTIES, LLC",IND
450056843,664 BERGEN LLC,CS
450056845,411MEADE LLC,TECH
450056848,COUSINS PLUMBING LLC,UT
450056850,"JSB 18 NJ, LLC",UT
450056851,E & D ENTERTAINMENT LLC,HC
450056852,175 ESSEX AVE LLC,CS
450056853,PERRONE FINANCIAL CONSULTANTS LLC,RE
450056854,HAYES-WARD INVESTMENTS LLC,IND
450056855,KSKT DEVELOPMENT LLC,CS
450056857,NEWARK BAY ADVISORS LLC,CS
450056858,METAL CONSTRUCTION LLC,CS
450056859,HARRY MAINELLO LLC,IND
450056861,A&E REALTY LLC,IND
450056862,"SJG ADVISORY, LLC",UT
450056863,GROOMING BY ANTONELLI LLC,IND
450056864,12 PERCENT NATION LIMITED LIABILITY CO,TECH
450056866,ZAK SERVICES GROUP III LLC,IND
450057214,RAFF FAMILY LLC,RE
450057215,ROBERT J SCHULTZ LLC,UT
450057216,FRENCH BREAD AND PATISSERIE LLC,RE
450057218,KJDM TRUCK LLC,CS
