contact_id,txn_id,txn_date,product_id,touch_type
109551310,422905669,5/16/15,FSUTX,Email
222281598,422905670,6/30/15,HAINX,Call
205629941,422905671,12/29/15,JAOSX,Email
167576505,422905672,1/18/15,GSZIX,Call
284418805,422905673,1/26/15,AKREX,Email
470298248,422905674,11/26/15,ONGIX,Email
503838001,422905675,2/21/16,POAGX,Web Visit
807530195,422905676,3/10/16,ANAYX,Visit
158634848,422905677,4/21/15,VWNAX,Call
597301337,422905678,8/24/15,VTSAX,Email
820739590,422905679,5/19/15,FSMVX,Email
599961103,422905680,3/25/15,FSRPX,Call
195393403,422905681,5/3/15,FGCKX,Email
253469222,422905682,11/27/15,JANDX,Email
365174982,422905683,1/1/15,PONCX,Web Visit
562348384,422905684,8/7/15,FBALX,Web Visit
114887052,422905685,2/5/15,VGPMX,Web Visit
575737537,422905686,2/28/16,VEIPX,Call
461497280,422905687,3/7/16,VGSTX,Web Visit
276261073,422905688,1/26/16,WASAX,Visit
230827593,422905689,8/3/15,TRRDX,Call
962166089,422905690,2/20/15,VVIAX,Visit
581627990,422905691,8/7/15,VIIIX,Visit
906495739,422905692,6/13/15,VSCGX,Visit
216231654,422905693,6/17/15,PGNAX,Call
969844681,422905694,8/25/15,VGSTX,Email
823417341,422905695,2/2/15,FLPSX,Email
256200942,422905696,12/6/15,FDESX,Visit
157985267,422905697,1/25/15,FDIVX,Web Visit
423528932,422905698,6/3/15,OAKLX,Visit
346289156,422905699,2/26/15,FNCMX,Email
514625134,422905700,5/26/15,MAGWX,Call
901185437,422905701,3/16/15,AKREX,Visit
308190800,422905702,10/14/15,SHAPX,Call
390305941,422905703,7/5/15,VASIX,Email
878304860,422905704,4/12/15,GWPAX,Web Visit
699787705,422905705,6/5/15,VWUSX,Call
727597211,422905706,3/27/16,AWSHX,Email
431196248,422905707,4/22/15,VTMGX,Web Visit
465624476,422905708,3/1/15,JATTX,Email
337569719,422905709,2/18/15,FMAGX,Web Visit
210578618,422905710,8/27/15,VWNDX,Web Visit
146976571,422905711,5/23/15,VIIIX,Call
343509402,422905712,7/31/15,GFACX,Email
965514853,422905713,4/21/15,PONCX,Call
526365414,422905714,11/6/15,TEGBX,Call
344512482,422905715,6/1/15,FHKCX,Call
246315635,422905716,12/22/15,VCVLX,Email
104904619,422905717,8/28/15,MMUFX,Email
336635180,422905718,10/12/15,VTMGX,Email
134780379,422905719,7/16/15,VTXVX,Call
240931614,422905720,2/8/16,FNARX,Visit
762991334,422905721,5/2/15,FPACX,Web Visit
141925334,422905722,1/29/16,VPCCX,Visit
453789798,422905723,1/3/16,VBINX,Email
210213249,422905724,12/18/15,VFIJX,Visit
134421853,422905725,6/21/15,VASGX,Email
299169329,422905726,8/29/15,SMCWX,Email
958063621,422905727,3/11/16,FARCX,Web Visit
432537299,422905728,2/27/16,IFACX,Visit
690122560,422905729,11/16/15,PRNEX,Email
400115176,422905730,5/31/15,VHCOX,Email
207769202,422905731,7/18/15,VGTSX,Email
305876303,422905732,1/22/15,PAAIX,Web Visit
508153145,422905733,12/14/15,PREIX,Call
179982426,422905734,4/22/15,OAKIX,Visit
667274409,422905735,9/18/15,DODGX,Web Visit
477479679,422905736,9/26/15,PGNAX,Web Visit
635735109,422905737,8/10/15,SMCWX,Web Visit
853719953,422905738,6/14/15,FDFFX,Call
100490977,422905739,9/23/15,VFICX,Email
945627155,422905740,1/14/16,CGMFX,Web Visit
147299304,422905741,3/16/16,FSITX,Email
981456441,422905742,6/30/15,VIGIX,Visit
553498194,422905743,4/3/15,TRMCX,Call
285651606,422905744,11/11/15,VIMSX,Call
449021068,422905745,1/27/16,FSAGX,Visit
111418345,422905746,1/26/16,SPECX,Web Visit
322199801,422905747,7/11/15,VMLUX,Visit
780499547,422905748,1/11/15,VTHRX,Email
299365531,422905749,1/2/16,VFIJX,Email
199651188,422905750,2/22/16,VTTVX,Web Visit
152066848,422905751,3/28/16,VTSAX,Web Visit
103112772,422905752,9/4/15,POAGX,Visit
162358260,422905753,1/31/16,VCAIX,Web Visit
160519512,422905754,3/26/16,PRFDX,Email
382176182,422905755,4/15/15,VINEX,Web Visit
190382641,422905756,3/31/16,VWIAX,Web Visit
556047506,422905757,5/28/15,VWILX,Visit
951459689,422905758,10/15/15,FDFFX,Visit
137407646,422905759,1/30/16,WASCX,Visit
869763959,422905760,3/6/15,VTABX,Web Visit
437148573,422905761,3/1/16,FSCSX,Call
501737505,422905762,3/29/16,ARTMX,Visit
100696081,422905763,3/2/15,FSTVX,Web Visit
143695322,422905764,5/5/15,VWENX,Email
425748764,422905765,8/24/15,PTTDX,Email
321997837,422905766,4/27/15,TRRMX,Email
497255804,422905767,3/8/15,PRNEX,Web Visit
118573354,422905768,2/25/15,PRSCX,Web Visit
230114389,422905769,1/8/16,PRUAX,Email
433639062,422905770,12/2/15,TRLGX,Email
121034444,422905771,3/23/16,JNBCX,Visit
351251720,422905772,4/24/15,VAFAX,Web Visit
397115573,422905773,5/19/15,TRRBX,Call
808745069,422905774,11/15/15,FBIOX,Web Visit
103171740,422905775,4/6/15,PMEGX,Email
108532753,422905776,11/23/15,VTWNX,Call
153097064,422905777,3/31/15,VWILX,Web Visit
214267590,422905778,10/17/15,AGTHX,Web Visit
914762573,422905779,6/2/15,YACKX,Web Visit
582574251,422905780,3/14/16,PIMIX,Email
366005762,422905781,10/30/15,VSIAX,Call
102471196,422905782,4/6/15,ONGIX,Web Visit
783598082,422905783,7/20/15,PRUAX,Web Visit
295000071,422905784,5/22/15,VCVLX,Email
467945380,422905785,7/20/15,TOLLX,Web Visit
205413739,422905786,8/5/15,MLPDX,Web Visit
